c,Rg
0,2.121061645403075
1,2.582990098200146
2,2.034841876559454
3,2.4810251869136675
4,1.8909109219103897
5,2.534079127592507
6,2.048435397199531
7,2.3745416945170703
8,1.5365808319122036
9,2.282568882421733
10,2.477994047289057
11,2.7475857953119496
12,1.6805634907970601
13,2.2170252993820347
14,2.7500965375964532
15,2.0580585628450905
16,1.935547435404258
17,1.8917658421168302
18,2.2441824244254294
19,1.6577764847228351
20,2.24813610419832
21,2.3366027256895854
22,2.2916612945634003
23,2.4306805622294347
24,2.0641506486203958
25,1.8483099650491523
26,2.24197472434459
27,2.3070652790287496
28,1.8282017730546045
29,2.7018383957224383
30,1.981653088787238
31,2.415373905837355
32,2.81826713302696
33,2.551338223383956
34,2.007163561496671
35,2.6659795202701764
