c,x,y,z
0,4.84638,1.60243,16.05285
1,5.17272,2.91915,10.05248
2,5.34357,2.38964,1.36561
3,2.66839,4.29367,13.89924
4,6.11162,6.46883,10.70033
5,3.24767,2.51885,5.94166
6,4.80822,0.80412,2.99743
7,6.49472,1.60601,19.44731
8,4.97232,6.02662,16.90303
9,1.55013,2.83975,19.96106
10,7.10162,5.51822,5.05561
11,5.66839,6.43454,10.24422
12,3.95741,4.38491,4.64474
13,2.46235,5.4518,4.56137
14,2.77561,4.20636,16.13552
15,2.58112,7.04864,11.84772
16,7.41928,0.60585,6.75917
17,6.10388,6.20024,1.66337
18,5.33834,0.59762,7.22294
19,3.31286,6.73328,20.32847
20,6.19351,3.04386,14.60267
21,0.18062,4.3105,7.5
22,6.96492,5.25088,3.30344
23,2.14385,7.45158,5.43564
24,6.45506,2.04851,13.05349
25,5.05971,3.59156,10.5
26,5.83008,4.02679,18.95388
27,4.28555,5.24203,18.20514
28,1.53359,0.64542,16.40598
29,0.26605,5.76785,13.29958
30,3.11558,0.66629,8.7545
31,3.81684,3.91142,1.08754
32,3.04626,4.02444,11.60363
33,2.44106,5.62331,15.69752
34,3.83371,1.12769,14.65572
35,2.95442,3.69775,7.69752
