c,x,y,z
0,4.76847,1.69377,15.34784
1,5.11122,3.9744,6.231
2,7.30228,4.69445,2.59311
3,5.5,3.38491,18.86807
4,6.86247,6.05311,9.25148
5,3.06053,5.46523,3.24907
6,4.71887,3.81545,3.95299
7,6.48672,2.77379,0.23555
8,1.19977,7.10991,18.9207
9,2.7391,1.00044,18.75208
10,5.02569,5.87394,6.6878
11,2.83708,3.23028,8.75208
12,1.65545,7.35884,1.39924
13,3.97893,5.44623,6.1489
14,0.17658,2.79364,13.91418
15,0.23154,6.10278,14.29571
16,1.01182,2.32645,7.26826
17,4.49713,3.32151,0.87885
18,5.08858,6.61139,8.84646
19,6.33743,0.80199,2.51443
20,5.72978,3.83708,15.65216
21,0.46827,1.75225,5.13279
22,2.77952,1.73854,3.2876
23,2.71958,2.06213,4.35665
24,2.27713,4.0936,11.13869
25,1.77271,0.43611,6.42624
26,1.50098,3.81684,16.0047
27,5.07394,6.20118,18.9629
28,6.04121,6.23163,14.78607
29,1.43356,1.52462,10.04321
30,5.93911,5.60651,12.15182
31,2.33834,4.15996,19.04122
32,2.3413,5.32981,16.20623
33,3.95374,0.89399,16.45195
34,4.29837,1.10244,11.23537
35,5.1036,3.28794,11.99295
