c,x,y,z
0,1.0565,2.37707,15.40019
1,1.39114,4.88915,10.224
2,4.63538,3.05311,4.89827
3,3.29333,4.72766,16.15179
4,6.42598,2.24165,16.55051
5,5.11509,3.57574,2.39214
6,4.63323,3.12228,1.62248
7,7.21166,2.97496,13.64682
8,3.12598,7.14672,15.92869
9,1.25431,0.81083,18.73688
10,5.66839,5.4745,17.24422
11,5.89858,4.10042,5.80107
12,0.09206,2.90216,0.6811
13,6.00691,7.16343,4.61873
14,1.10492,3.48134,19.73428
15,0.00192,4.0612,6.21417
16,2.96053,0.86346,2.00497
17,4.06624,1.06078,5.40644
18,4.28837,7.12619,9.3138
19,2.15658,6.10488,1.65289
20,6.50821,3.05777,15.75097
21,6.74847,1.66166,9.3107
22,5.2726,5.46039,7.85282
23,5.68518,4.92394,10.84626
24,1.00705,6.54445,9.7129
25,0.09895,0.67093,14.34856
26,4.8116,7.29031,17.55092
27,1.27022,1.15739,5.00238
28,3.80288,2.1884,10.82195
29,5.06624,5.17615,18.82631
30,2.66292,4.86747,4.64474
31,4.61049,1.54668,0.82732
32,0.81609,6.8119,7.78942
33,4.24781,2.26146,19.06344
34,2.31537,3.8415,12.64474
35,3.10601,2.02243,9.95022
