c,x,y,z
0,3.15129,1.29547,9.17896
1,6.8947,2.41501,11.60076
2,0.68079,2.76193,14.97106
3,3.45335,5.77558,17.16111
4,7.33657,3.79093,6.37245
5,1.34462,3.6714,0.95607
6,4.00603,2.5,12.41083
7,1.97928,5.55646,6.5057
8,0.4757,5.56287,18.82156
9,6.30883,4.34411,15.02518
10,2.40359,1.77133,5.50493
11,7.04016,7.19398,6.14439
12,6.12415,2.47973,3.31354
13,4.76908,1.13347,0.39518
14,4.37357,2.77509,16.66063
15,5.8646,5.94689,14.03694
16,6.74385,0.00192,11.65144
17,4.55646,6.95529,1.44925
18,1.70116,1.05939,20.03815
19,3.66839,4.81576,10.10076
20,1.6497,1.3739,13.2091
21,5.35606,2.67661,8.04612
22,4.74682,4.66839,9.70326
23,0.70139,2.27521,9.39146
24,5.14599,2.87792,19.20761
25,3.64145,3.01055,15.58107
26,7.0979,7.20069,3.34999
27,5.22258,5.06909,8.39778
28,1.12598,5.32243,20.21948
29,3.46009,1.28549,12.10556
30,5.527,0.39403,4.55574
31,4.44748,4.5,2.39924
32,2.66293,2.75156,6.69343
33,2.54179,2.4623,16.15108
34,0.28653,7.43891,14.80062
35,4.70251,5.71331,18.1956
