c,Rg
0,2.5663453886022434
1,1.8262637247670446
2,2.150479388624778
3,2.5234913363235467
4,1.6738490434026598
5,2.3250860495904235
6,2.584067297285425
7,2.412168069330991
8,1.9848873254923058
9,1.7461884771409986
10,2.045638260152562
11,2.0960901195797854
12,1.9206224704246277
13,1.7298740004983022
14,2.440009117052639
15,2.5259429990401605
16,1.9585045075516168
17,2.0077713400932886
18,3.1582838997626546
19,2.1798012624319676
20,2.293952056539107
21,2.326240173391389
22,2.3063257321982946
23,2.2880519074968557
24,2.2770801360075144
25,2.6737030610185566
26,1.9224956201250494
27,2.1624408642318986
28,1.714885179042609
29,2.4520628045790342
30,2.3211385994162437
31,1.6949525056767816
32,2.7880788576724296
33,1.8585082696883541
34,2.623681006239135
35,1.8932666895342556
