c,Rg
0,1.6786441785262294
1,2.355809763308574
2,2.4736802272120784
3,1.874156357244507
4,1.885473061939629
5,2.0751861515054495
6,2.002661490641891
7,2.3654764028626456
8,2.0042319537668294
9,2.4515207601405296
10,2.034737193324976
11,2.3448641065315488
12,2.5117328338420073
13,2.86898467843591
14,2.051065097187313
15,1.8630640679536492
16,2.4208566898930632
17,2.8064831346188424
18,2.1180161607268246
19,2.3749478778491118
20,2.520407430714328
21,2.799198818322843
22,1.8262247824952986
23,2.0102477557007745
24,3.044373169077667
25,2.405218842538034
26,1.9745911142056727
27,2.0805466114701683
28,2.4191128342638337
29,2.2703778086036697
30,2.801380142893856
31,2.234763051444157
32,1.515491674737938
33,2.882319532928298
34,1.7830960833897875
35,2.7485537323836327
