c,x,y,z
0,1.9,0.9,2.1
1,3.4,5.0,2.5
2,2.25,3.9,11.35
3,1.5,3.2,16.5
4,4.05,2.25,14.9
5,5.25,4.05,10.6
6,5.3,3.7,8.1
7,1.65,5.55,6.8
8,4.5,2.55,3.25
9,1.95,1.15,3.2
10,5.7,4.85,3.55
11,2.4,2.3,12.0
12,3.35,2.65,15.3
13,3.85,5.45,6.1
14,5.1,3.5,2.8
15,2.25,1.9,15.75
16,4.3,2.15,14.95
17,3.6,4.95,15.75
18,3.85,2.8,17.45
19,4.0,3.75,9.15
20,3.0,1.95,2.25
21,1.55,2.25,18.9
22,5.8,2.4,7.8
23,3.05,1.7,13.75
24,3.35,2.7,12.45
25,4.8,3.9,6.8
26,4.0,3.5,13.8
27,1.9,3.45,18.15
28,3.3,4.55,17.45
29,2.1,3.6,18.5
30,3.4,1.6,17.1
31,4.35,3.0,10.75
32,3.7,3.8,5.3
33,4.55,1.95,5.5
34,3.3,4.65,15.55
35,2.8,1.9,7.4
