c,x,y,z
0,5.25,5.75,5.0
1,5.4,3.15,16.45
2,3.7,3.6,2.3
3,6.05,3.45,3.2
4,2.2,3.75,2.95
5,1.05,5.3,14.55
6,5.95,5.4,15.75
7,4.1,4.0,6.4
8,2.4,4.0,18.1
9,5.35,1.05,12.7
10,1.95,3.45,11.4
11,2.4,5.5,10.9
12,3.85,4.65,0.7
13,2.05,2.0,8.05
14,2.5,3.3,15.8
15,1.4,3.4,6.2
16,5.3,1.35,9.25
17,5.85,4.95,8.4
18,2.6,2.6,14.0
19,2.8,1.65,9.15
20,4.8,1.6,18.9
21,1.8,2.35,2.25
22,3.35,6.2,7.65
23,1.7,3.55,10.75
24,5.45,3.9,11.85
25,3.45,2.35,16.6
26,2.15,5.8,18.65
27,3.85,5.25,10.5
28,3.6,0.9,1.2
29,4.8,1.45,6.75
30,1.4,1.8,18.5
31,4.1,5.9,15.1
32,3.45,0.85,3.8
33,3.5,4.9,2.7
34,1.75,5.75,4.6
35,4.05,1.5,15.05
