Re,Rx2,Ry2,Rz2
3.0,4,4,1
3.3166247903554,1,9,1
3.0,4,4,1
3.0,1,4,4
3.0,4,4,1
1.7320508075688772,1,1,1
4.123105625617661,4,9,4
2.23606797749979,4,1,0
3.0,4,1,4
3.0,1,4,4
5.744562646538029,16,1,16
1.7320508075688772,1,1,1
5.385164807134504,16,4,9
2.23606797749979,4,1,0
4.123105625617661,4,9,4
2.23606797749979,0,4,1
2.23606797749979,0,1,4
6.082762530298219,1,0,36
5.385164807134504,4,25,0
5.0,16,9,0
3.0,0,0,9
4.358898943540674,9,1,9
5.916079783099616,9,1,25
5.385164807134504,9,4,16
3.0,4,1,4
5.0,0,9,16
4.358898943540674,9,1,9
5.916079783099616,1,9,25
3.605551275463989,4,0,9
2.23606797749979,0,4,1
6.708203932499369,4,16,25
3.0,9,0,0
6.4031242374328485,16,16,9
5.385164807134504,25,0,4
9.1104335791443,1,1,81
3.3166247903554,1,1,9
