Re,Rx2,Ry2,Rz2
3.0,1,4,4
4.123105625617661,16,1,0
6.557438524302,9,9,25
4.358898943540674,1,9,9
6.082762530298219,1,0,36
5.0,9,16,0
3.3166247903554,1,1,9
4.123105625617661,9,4,4
4.58257569495584,1,4,16
5.385164807134504,4,9,16
5.196152422706632,9,9,9
3.605551275463989,4,9,0
4.123105625617661,9,4,4
2.23606797749979,1,0,4
4.58257569495584,1,4,16
6.708203932499369,0,9,36
3.605551275463989,9,0,4
4.123105625617661,9,4,4
5.0,9,0,16
4.123105625617661,0,1,16
4.123105625617661,0,1,16
6.4031242374328485,16,0,25
1.0,0,0,1
4.58257569495584,16,4,1
6.4031242374328485,0,25,16
3.3166247903554,1,9,1
4.358898943540674,1,9,9
2.23606797749979,4,1,0
4.123105625617661,4,4,9
2.23606797749979,0,4,1
5.0,16,0,9
3.0,0,0,9
4.58257569495584,1,4,16
3.3166247903554,9,1,1
4.123105625617661,4,9,4
4.123105625617661,1,0,16
