Re,Rx2,Ry2,Rz2
3.3166247903554,1,9,1
7.54983443527075,4,4,49
2.23606797749979,4,0,1
3.0,4,1,4
3.605551275463989,4,0,9
1.0,1,0,0
4.123105625617661,4,9,4
5.0,0,9,16
3.605551275463989,9,0,4
2.23606797749979,0,1,4
2.23606797749979,0,4,1
3.0,4,1,4
4.123105625617661,0,16,1
3.0,0,9,0
3.3166247903554,9,1,1
6.4031242374328485,4,1,36
3.605551275463989,9,0,4
2.23606797749979,0,4,1
3.3166247903554,9,1,1
4.358898943540674,1,9,9
5.385164807134504,4,0,25
3.3166247903554,1,1,9
4.358898943540674,1,9,9
2.23606797749979,0,1,4
2.23606797749979,1,4,0
4.123105625617661,1,0,16
3.605551275463989,9,0,4
4.358898943540674,1,9,9
6.082762530298219,0,1,36
3.3166247903554,9,1,1
2.23606797749979,4,1,0
3.605551275463989,9,4,0
1.0,0,0,1
5.744562646538029,16,1,16
1.7320508075688772,1,1,1
6.082762530298219,1,0,36
