c,x,y,z
0,3.25,1.75,12.5
1,4.45,4.8,8.95
2,3.55,1.8,2.25
3,4.25,2.5,4.05
4,5.65,2.25,3.7
5,3.4,4.75,15.95
6,1.15,4.6,10.65
7,5.7,6.0,4.0
8,3.85,1.6,17.45
9,2.9,1.75,7.05
10,1.35,2.7,0.95
11,3.05,2.4,16.15
12,5.35,5.05,3.5
13,1.0,2.55,17.95
14,1.25,2.6,8.45
15,2.45,5.55,1.5
16,2.85,1.75,16.1
17,6.0,1.55,9.85
18,4.85,5.45,13.3
19,3.7,6.15,9.45
20,5.75,2.45,18.6
21,2.3,3.95,3.75
22,1.4,2.2,11.5
23,5.65,3.85,10.8
24,4.45,1.1,8.05
25,4.65,5.95,18.7
26,1.45,2.65,13.2
27,1.15,4.2,5.05
28,1.2,1.1,4.1
29,4.75,3.15,1.0
30,2.2,5.5,17.7
31,4.5,3.65,8.65
32,5.7,5.5,16.0
33,2.8,5.8,4.8
34,0.9,4.95,16.25
35,5.85,4.4,13.05
