Re,Rx2,Ry2,Rz2
2.23606797749979,1,0,4
4.123105625617661,4,9,4
2.23606797749979,1,0,4
5.744562646538029,1,16,16
1.0,1,0,0
4.358898943540674,1,9,9
2.23606797749979,0,1,4
5.916079783099616,1,9,25
3.605551275463989,9,4,0
4.58257569495584,16,1,4
3.3166247903554,9,1,1
4.58257569495584,1,4,16
1.0,0,0,1
1.0,0,0,1
2.23606797749979,4,0,1
4.358898943540674,1,9,9
5.385164807134504,4,9,16
2.23606797749979,1,0,4
5.385164807134504,4,16,9
1.7320508075688772,1,1,1
4.358898943540674,9,9,1
5.385164807134504,4,9,16
3.3166247903554,1,1,9
3.0,1,4,4
2.23606797749979,1,0,4
5.385164807134504,0,4,25
1.0,0,0,1
4.58257569495584,1,4,16
2.23606797749979,1,0,4
1.0,0,0,1
4.123105625617661,9,4,4
3.0,4,1,4
2.23606797749979,4,1,0
3.0,1,4,4
5.744562646538029,4,25,4
5.0,9,0,16
