c,x,y,z
0,2.6,5.75,9.95
1,1.6,2.15,14.15
2,2.95,5.25,1.5
3,4.3,4.85,5.15
4,5.25,5.95,7.3
5,1.95,1.75,12.2
6,4.75,4.5,11.65
7,3.25,4.2,10.65
8,5.45,4.0,17.65
9,2.65,5.95,7.8
10,1.8,3.2,1.9
11,4.0,1.8,9.5
12,5.3,1.45,2.55
13,1.65,2.15,16.3
14,0.95,3.85,9.5
15,5.8,2.8,1.8
16,5.55,2.6,17.95
17,5.3,3.55,6.95
18,2.1,5.85,15.15
19,5.25,4.3,3.05
20,1.4,1.45,18.35
21,5.45,2.35,7.7
22,1.2,5.4,18.6
23,2.7,1.55,15.95
24,6.15,1.6,12.85
25,5.25,4.75,18.1
26,3.7,3.7,14.1
27,1.4,3.45,5.35
28,1.8,0.85,2.45
29,2.05,3.6,1.85
30,2.25,1.15,8.3
31,3.4,5.7,3.4
32,4.35,3.7,11.45
33,4.8,0.95,5.95
34,3.2,3.05,17.45
35,6.1,4.7,14.4
