Re,Rx2,Ry2,Rz2
8.660254037844387,25,1,49
3.0,4,4,1
4.123105625617661,4,4,9
2.23606797749979,4,0,1
4.58257569495584,4,16,1
4.58257569495584,1,4,16
5.916079783099616,1,9,25
1.7320508075688772,1,1,1
4.58257569495584,16,4,1
3.3166247903554,9,1,1
9.0,1,16,64
7.14142842854285,1,1,49
3.0,4,1,4
6.708203932499369,0,36,9
3.3166247903554,1,1,9
2.23606797749979,1,0,4
4.123105625617661,4,9,4
5.916079783099616,1,9,25
6.082762530298219,1,36,0
5.916079783099616,9,25,1
1.0,0,1,0
5.744562646538029,1,16,16
1.0,1,0,0
2.23606797749979,4,0,1
5.196152422706632,1,1,25
5.744562646538029,4,4,25
3.0,1,4,4
4.358898943540674,9,1,9
2.23606797749979,1,0,4
6.708203932499369,36,0,9
7.280109889280518,16,1,36
7.0,36,4,9
4.123105625617661,4,9,4
4.123105625617661,4,9,4
3.605551275463989,0,4,9
6.708203932499369,25,16,4
