Re,Rx2,Ry2,Rz2
1.0,0,1,0
3.0,4,4,1.0
6.576473218982953,0,1,42.25
1.0,0,0,1
5.744562646538029,4,4,25.0
2.23606797749979,1,4.0,0
7.681145747868608,1.0,9,49
3.605551275463989,0,4,9
6.103277807866851,16.0,20.25,1
8.558621384311845,1,0,72.25
5.852349955359813,30.25,0,4
3.0,4,1,4
4.5,2.25,9,9
7.0178344238090995,25.0,20.25,4
4.123105625617661,4,9,4
6.18465843842649,4.0,30.25,4
3.605551275463989,4.0,9,0
5.408326913195984,20.25,0,9
2.23606797749979,4,0.0,1
4.716990566028302,1.0,12.25,9
1.0,1,0,0
5.408326913195984,20.25,0,9
3.3541019662496847,1.0,4,6.25
3.774917217635375,12.25,1,1
3.605551275463989,0,9,4
5.958187643906492,6.25,20.25,9
5.5901699437494745,6.25,9.0,16
3.5,2.25,1,9
3.3166247903554,1,1.0,9.0
3.5,2.25,1,9
6.103277807866851,1,20.25,16
3.0,4,4,1
4.387482193696061,9,4,6.25
5.678908345800274,1,1,30.25
1.0,0.0,1.0,0
4.358898943540674,9.0,1,9
