x,y,z
5,4,13
4,4,13
3,4,13
4,4,13
4,3,13
3,3,13
4,3,13
4,3,14
5,3,14
6,3,14
6,4,14
5,4,14
6,4,14
6,5,14
5,5,14
6,5,14
6,4,14
6,3,14
0,3,14
0,2,14
4,3,14
4,3,13
4,2,13
4,3,13
3,3,13
3,3,12
3,3,13
3,3,14
2,3,14
2,2,14
2,2,13
3,2,13
3,3,13
3,2,13
3,1,13
3,0,13
3,0,14
4,0,14
4,6,14
5,6,14
4,0,17
4,1,17
4,1,18
3,1,18
2,1,18
2,2,18
2,2,17
2,3,17
2,2,17
2,3,17
2,3,16
2,2,16
3,2,16
3,2,15
3,2,16
3,2,15
3,3,15
4,3,15
4,2,15
5,2,15
4,2,10
4,3,10
5,3,10
5,3,11
4,3,11
3,3,11
3,2,11
3,1,11
3,1,10
4,1,10
3,1,10
2,1,10
2,0,10
2,0,9
2,1,9
1,1,9
1,1,8
1,0,8
1,0,7
1,0,6
6,3,16
6,2,16
6,3,16
6,2,16
6,1,16
6,1,15
0,1,15
0,0,15
1,0,15
1,6,15
1,6,14
1,5,14
1,5,13
1,5,14
1,6,14
0,6,14
0,6,15
1,6,15
1,5,15
1,5,16
6,1,5
6,0,5
5,0,5
5,0,6
5,0,7
5,0,6
5,1,6
6,1,6
6,1,7
5,1,7
5,1,8
5,1,9
5,0,9
5,0,8
4,0,8
4,0,7
4,1,7
4,2,7
4,1,7
4,0,7
5,1,9
5,1,10
5,1,11
5,0,11
5,1,11
5,1,10
5,1,9
6,1,9
5,1,9
5,1,10
4,1,10
4,1,9
4,1,8
4,1,9
4,1,10
5,1,10
6,1,10
6,0,10
6,0,11
6,6,11
3,1,16
3,1,17
3,1,16
2,1,16
3,1,16
2,1,16
2,1,15
2,1,16
2,2,16
2,2,15
1,2,15
1,1,15
1,0,15
0,0,15
0,1,15
0,0,15
0,1,15
0,0,15
0,0,14
0,0,13
3,6,7
3,6,8
2,6,8
2,0,8
2,0,7
2,1,7
2,0,7
2,6,7
3,6,7
2,6,7
2,5,7
2,5,8
2,6,8
2,6,9
2,5,9
1,5,9
1,6,9
1,6,8
1,6,7
1,5,7
5,2,4
4,2,4
4,1,4
3,1,4
3,2,4
3,3,4
3,2,4
3,3,4
4,3,4
3,3,4
2,3,4
2,4,4
1,4,4
1,5,4
1,4,4
1,3,4
1,3,5
2,3,5
1,3,5
1,3,4
0,0,8
0,0,7
6,0,7
6,6,7
5,6,7
4,6,7
4,5,7
5,5,7
6,5,7
0,5,7
0,4,7
0,4,8
6,4,8
6,5,8
6,5,9
6,5,8
6,5,9
6,5,8
0,5,8
0,6,8
3,2,5
3,2,4
3,2,3
3,2,2
2,2,2
2,2,3
2,2,4
2,2,3
2,1,3
3,1,3
3,2,3
3,2,4
2,2,4
2,2,3
1,2,3
1,2,2
1,1,2
2,1,2
2,1,1
2,1,2
1,0,0
1,6,0
2,6,0
2,0,0
2,0,19
1,0,19
0,0,19
0,1,19
6,1,19
6,1,18
6,1,17
6,1,18
6,0,18
6,6,18
6,6,19
6,6,0
5,6,0
5,5,0
5,5,19
5,5,18
6,5,3
0,5,3
0,5,2
0,5,3
0,4,3
0,5,3
0,5,4
0,6,4
0,5,4
1,5,4
1,5,5
1,6,5
0,6,5
1,6,5
1,6,4
0,6,4
0,5,4
0,4,4
0,4,3
0,4,4
6,0,1
6,0,0
0,0,0
6,0,0
6,0,19
0,0,19
0,0,18
0,1,18
0,2,18
0,3,18
0,2,18
6,2,18
6,1,18
0,1,18
0,2,18
0,1,18
0,0,18
0,6,18
1,6,18
1,0,18
4,2,17
4,1,17
4,0,17
4,0,18
4,6,18
4,6,17
4,6,18
4,6,19
3,6,19
3,6,0
3,6,1
3,5,1
3,6,1
3,6,2
2,6,2
2,6,1
2,6,0
1,6,0
1,5,0
2,5,0
0,3,11
0,3,12
0,2,12
0,1,12
0,0,12
1,0,12
1,1,12
1,0,12
1,6,12
2,6,12
3,6,12
3,6,13
3,5,13
3,5,14
4,5,14
5,5,14
4,5,14
4,4,14
4,4,13
4,4,14
5,3,12
6,3,12
6,3,11
6,2,11
6,2,10
6,1,10
6,2,10
0,2,10
1,2,10
1,2,11
1,2,12
1,3,12
1,4,12
1,5,12
2,5,12
2,4,12
2,4,13
2,3,13
2,4,13
2,5,13
6,5,10
6,6,10
5,6,10
5,6,9
5,5,9
5,4,9
5,4,10
5,4,11
5,4,12
5,4,11
5,5,11
6,5,11
0,5,11
0,5,12
1,5,12
0,5,12
0,4,12
0,5,12
6,5,12
6,5,11
3,6,14
3,0,14
3,1,14
2,1,14
1,1,14
1,1,15
1,2,15
2,2,15
3,2,15
2,2,15
2,2,16
2,1,16
3,1,16
4,1,16
4,2,16
4,2,15
4,2,14
3,2,14
3,2,15
3,2,16
5,2,8
4,2,8
4,2,7
5,2,7
5,2,8
4,2,8
4,1,8
3,1,8
2,1,8
2,1,7
1,1,7
1,1,6
0,1,6
0,1,5
6,1,5
6,1,4
0,1,4
6,1,4
6,1,5
5,1,5
5,1,11
5,2,11
5,3,11
5,4,11
5,4,10
5,5,10
5,6,10
5,6,9
4,6,9
3,6,9
3,6,8
3,0,8
2,0,8
2,1,8
2,1,7
2,1,8
2,1,9
2,0,9
2,1,9
1,1,9
2,3,3
2,3,2
1,3,2
0,3,2
0,4,2
0,4,3
0,3,3
1,3,3
2,3,3
3,3,3
3,3,4
3,3,3
3,2,3
4,2,3
4,1,3
4,0,3
5,0,3
6,0,3
6,0,2
6,6,2
6,2,10
6,1,10
6,1,11
6,1,12
6,1,13
6,1,12
6,1,11
6,0,11
0,0,11
0,0,10
6,0,10
6,0,9
6,0,10
6,6,10
0,6,10
0,6,11
6,6,11
6,6,10
6,0,10
6,0,11
4,5,11
4,4,11
4,5,11
4,5,10
4,5,9
5,5,9
4,5,9
5,5,9
5,5,10
6,5,10
6,6,10
0,6,10
6,6,10
6,5,10
6,5,11
6,5,12
6,4,12
6,4,11
5,4,11
5,3,11
6,3,9
0,3,9
0,3,10
0,4,10
0,3,10
0,3,9
1,3,9
1,4,9
1,4,10
1,5,10
1,5,11
1,6,11
1,6,10
0,6,10
0,6,11
1,6,11
2,6,11
2,6,10
1,6,10
0,6,10
5,2,16
5,2,15
5,2,14
5,1,14
5,2,14
5,1,14
5,0,14
5,1,14
5,1,15
6,1,15
6,2,15
6,3,15
6,3,16
6,3,15
6,4,15
6,5,15
6,4,15
5,4,15
4,4,15
4,4,14
1,2,18
1,2,17
1,1,17
0,1,17
0,1,18
0,1,19
6,1,19
0,1,19
0,0,19
6,0,19
6,0,18
5,0,18
5,0,17
5,6,17
5,0,17
5,0,16
5,0,17
5,0,16
4,0,16
4,1,16
6,5,2
6,5,1
6,5,0
6,6,0
0,6,0
0,0,0
1,0,0
1,1,0
1,1,1
1,1,0
2,1,0
2,0,0
2,1,0
2,2,0
2,2,19
2,2,18
2,3,18
1,3,18
1,2,18
1,2,19
5,6,18
6,6,18
6,6,19
5,6,19
5,5,19
5,5,0
5,5,1
5,5,2
4,5,2
4,6,2
4,6,3
4,5,3
4,4,3
4,5,3
4,4,3
5,4,3
5,3,3
5,3,2
5,3,3
6,3,3
2,3,3
2,2,3
3,2,3
3,2,2
4,2,2
4,2,1
4,1,1
4,2,1
4,1,1
4,0,1
4,6,1
3,6,1
3,0,1
3,0,0
3,0,1
3,1,1
3,2,1
3,1,1
2,1,1
3,1,1
2,5,14
2,5,15
2,6,15
2,6,14
2,0,14
1,0,14
1,6,14
1,6,15
2,6,15
3,6,15
3,5,15
3,5,16
3,5,17
3,6,17
4,6,17
3,6,17
3,0,17
2,0,17
2,6,17
2,6,18
6,3,8
6,2,8
0,2,8
0,3,8
0,2,8
0,2,7
6,2,7
6,1,7
0,1,7
1,1,7
2,1,7
2,1,8
2,1,7
2,1,6
2,2,6
2,2,7
2,2,6
2,2,7
2,2,6
2,2,5
3,4,16
3,4,15
3,3,15
4,3,15
3,3,15
3,3,16
3,2,16
3,3,16
4,3,16
3,3,16
3,2,16
4,2,16
4,2,17
5,2,17
5,3,17
5,4,17
6,4,17
5,4,17
5,4,18
5,3,18
4,5,0
4,5,19
3,5,19
3,5,18
3,6,18
2,6,18
1,6,18
1,5,18
0,5,18
1,5,18
0,5,18
0,5,19
0,6,19
1,6,19
1,6,18
1,6,17
1,6,18
1,6,17
1,6,18
2,6,18
5,5,12
6,5,12
5,5,12
6,5,12
6,5,13
6,5,14
6,5,15
5,5,15
5,5,14
5,4,14
4,4,14
4,3,14
5,3,14
4,3,14
5,3,14
5,2,14
4,2,14
3,2,14
3,2,15
3,3,15
