Re,Rx2,Ry2,Rz2
5.196152422706632,1.0,1.0,25.0
3.3166247903554,9.0,1.0,1.0
7.54983443527075,4.0,49.0,4.0
8.18535277187245,9.0,9.0,49.0
9.0,16.0,1.0,64.0
11.445523142259598,1.0,81.0,49.0
3.3166247903554,9.0,1.0,1.0
11.0,0.0,0.0,121.0
13.076696830622021,1.0,1.0,169.0
10.04987562112089,0.0,1.0,100.0
7.280109889280518,4.0,0.0,49.0
5.916079783099616,25.0,9.0,1.0
4.123105625617661,0.0,16.0,1.0
10.44030650891055,0.0,9.0,100.0
7.54983443527075,4.0,4.0,49.0
5.744562646538029,16.0,1.0,16.0
6.4031242374328485,1.0,36.0,4.0
4.123105625617661,4.0,9.0,4.0
5.916079783099616,1.0,25.0,9.0
7.280109889280518,1.0,16.0,36.0
8.18535277187245,49.0,9.0,9.0
9.0,16.0,16.0,49.0
8.306623862918075,4.0,16.0,49.0
11.180339887498949,0.0,25.0,100.0
9.0,1.0,16.0,64.0
11.180339887498949,0.0,4.0,121.0
6.4031242374328485,36.0,1.0,4.0
7.0,9.0,4.0,36.0
5.196152422706632,1.0,25.0,1.0
5.196152422706632,25.0,1.0,1.0
3.0,4.0,1.0,4.0
5.744562646538029,16.0,1.0,16.0
6.4031242374328485,36.0,4.0,1.0
6.4031242374328485,16.0,16.0,9.0
3.0,4.0,4.0,1.0
11.445523142259598,9.0,1.0,121.0
