R_rms,Rx_rms,Ry_rms,Rz_rms,err_Rrms,err_Rx,err_Ry,err_Rz
19.000000,0.000000,0.000000,19.000000,0.000000,nan,nan,0.000000
4.640552,2.550871,2.816124,2.664061,0.300535,0.254345,0.392144,0.254676
4.786410,2.240722,2.935652,3.044804,0.270713,0.256581,0.359252,0.301780
4.108764,2.368778,2.443813,2.301871,0.294031,0.354106,0.233312,0.243890
4.433929,2.786376,2.500000,2.376096,0.361976,0.455561,0.323596,0.186224
4.851976,3.130273,2.497221,2.739880,0.341056,0.411149,0.238571,0.267956
4.902522,2.746210,2.902346,2.840677,0.321840,0.316116,0.259474,0.387543
4.585605,3.081080,2.484675,2.315407,0.342110,0.383603,0.208102,0.241935
5.098339,2.467849,3.082207,3.225334,0.352474,0.237971,0.351710,0.393552
4.403282,2.549510,2.885548,2.136001,0.263112,0.276937,0.295720,0.300226
3.924637,1.920286,2.340762,2.497221,0.214455,0.278541,0.254387,0.256455
4.908892,2.905933,2.669270,2.920236,0.344847,0.413092,0.249760,0.420845
4.201521,2.850439,2.176261,2.188988,0.330069,0.410547,0.211238,0.253878
4.582576,2.469255,3.087835,2.316906,0.309457,0.199008,0.348429,0.237645
4.693376,3.072051,2.924988,2.008662,0.378402,0.384890,0.329292,0.278239
4.591659,2.602082,2.837007,2.502776,0.272144,0.331455,0.272156,0.231907
5.062114,3.143556,3.009245,2.586020,0.322944,0.375277,0.289596,0.352421
4.541476,2.516611,2.902346,2.422407,0.253054,0.286592,0.311485,0.273030
4.929362,3.398325,2.481879,2.567154,0.310130,0.325071,0.250608,0.324464
4.779877,3.208063,2.766365,2.214222,0.271675,0.295606,0.342189,0.240967
4.599215,2.291288,2.817357,2.822282,0.305868,0.223290,0.367045,0.246795
4.758764,2.908321,2.658843,2.667968,0.223250,0.245021,0.244886,0.225504
4.853407,2.899952,2.829654,2.671870,0.291543,0.306188,0.272134,0.297271
4.947643,2.259240,3.413617,2.778889,0.286834,0.229826,0.353891,0.367363
4.381939,2.374634,2.807480,2.383392,0.236284,0.233069,0.334137,0.191388
4.538416,2.757565,2.873490,2.176261,0.345388,0.305293,0.405253,0.257979
4.966555,2.331845,3.380910,2.792599,0.329417,0.242629,0.320811,0.278689
4.347732,2.534484,2.201641,2.762597,0.291877,0.231303,0.287019,0.270827
4.260608,2.046338,2.916667,2.336308,0.331784,0.235267,0.407898,0.225332
4.734624,3.077698,2.739880,2.331845,0.388953,0.344741,0.380120,0.360208
4.419025,2.599412,2.546784,2.506935,0.232191,0.219042,0.266580,0.240782
4.038874,2.139250,2.445233,2.399363,0.291013,0.217859,0.246818,0.387507
4.250817,2.908321,1.902119,2.448072,0.224488,0.289033,0.194003,0.203689
4.892596,2.656230,2.701594,3.095696,0.315768,0.213746,0.269816,0.388712
4.788586,2.765110,3.000000,2.506935,0.375315,0.260950,0.405179,0.308733
4.716991,2.370244,2.446653,3.262795,0.302907,0.267249,0.258970,0.394924
4.565876,2.583333,2.680951,2.643125,0.331588,0.332172,0.310732,0.375292
4.332532,2.714416,2.339278,2.435273,0.226272,0.252812,0.260701,0.251057
4.881228,2.603417,3.027650,2.807480,0.238005,0.253299,0.263581,0.287551
4.942728,2.632595,2.718251,3.179797,0.318637,0.213384,0.282978,0.418020
4.568917,2.786376,2.695160,2.418103,0.275422,0.224255,0.381851,0.187272
