Re,Rx2,Ry2,Rz2
2.23606797749979,4,1.0,0
2.692582403567252,6.25,1,0
3.3166247903554,1,9,1
5.024937810560445,1,20.25,4
8.558621384311845,72.25,0,1
3.0,4,4.0,1
6.041522986797286,4,12.25,20.25
1.0,1,0,0
5.385164807134504,9.0,4,16
3.605551275463989,4,0,9
2.23606797749979,1,4,0
6.87386354243376,42.25,4.0,1
5.5,12.25,9,9
5.678908345800274,4.0,12.25,16
5.678908345800274,30.25,1,1
2.0615528128088303,1,2.25,1
6.726812023536855,20.25,9,16
4.716990566028302,9,12.25,1
3.3541019662496847,6.25,1.0,4
5.315072906367325,0,12.25,16
2.9154759474226504,0,2.25,6.25
2.692582403567252,6.25,1,0
5.916079783099616,9,1,25
3.605551275463989,9,4,0
2.23606797749979,0,1.0,4
3.2015621187164243,2.25,4,4
2.23606797749979,4,0,1.0
3.0,4,4,1
4.387482193696061,9.0,6.25,4
2.23606797749979,1,0.0,4
1.0,0,0,1
2.692582403567252,1.0,6.25,0
1.0,1.0,0,0
6.041522986797286,12.25,20.25,4.0
1.0,0,1,0
1.7320508075688772,1,1.0,1
