Re,Rx2,Ry2,Rz2
3.5355339059327378,2.25,6.25,4.0
4.387482193696061,9,6.25,4
3.3166247903554,1,9,1
5.937171043518958,6.25,4,25
4.5,12.25,4,4
3.0,0.0,0.0,9
2.23606797749979,0,1.0,4
3.0,0,0.0,9
3.0,4,4,1
4.58257569495584,16.0,1,4
4.123105625617661,9,4,4
3.0,4.0,4,1
2.23606797749979,4,1,0
5.024937810560445,20.25,4,1.0
2.692582403567252,6.25,0.0,1
3.3166247903554,1,1,9
3.3166247903554,1,9,1
5.385164807134504,25,0,4
5.0,9,0,16
4.8218253804964775,6.25,1,16
4.031128874149275,12.25,4,0
5.024937810560445,1,20.25,4
3.0,0,9,0
2.23606797749979,0,4,1
3.3166247903554,1,9.0,1.0
1.7320508075688772,1,1,1
3.605551275463989,0,4,9
8.455767262643882,9,42.25,20.25
5.385164807134504,4,0,25
2.23606797749979,4.0,1,0
7.106335201775948,20.25,0,30.25
3.3541019662496847,1,4,6.25
6.4031242374328485,16,0,25
4.123105625617661,4,4,9
2.692582403567252,1,6.25,0
7.176350047203662,20.25,6.25,25
