Re,Rx2,Ry2,Rz2
5.385164807134504,0,25,4
3.3541019662496847,6.25,4,1.0
3.3541019662496847,1,6.25,4
2.692582403567252,6.25,1,0.0
4.58257569495584,1,16,4
2.23606797749979,1,0,4
4.58257569495584,16,1.0,4
4.5,4,12.25,4
3.0,4.0,1,4
6.4031242374328485,16,25,0
3.3541019662496847,1,6.25,4
4.716990566028302,12.25,9.0,1
4.387482193696061,6.25,9.0,4
6.726812023536855,20.25,0,25
5.408326913195984,0.0,20.25,9
2.23606797749979,4,0.0,1
3.3166247903554,9,1,1
8.336666000266533,9,30.25,30.25
6.946221994724902,0,12.25,36
3.0,4,1.0,4
4.123105625617661,1.0,0,16
7.035623639735144,6.25,42.25,1
2.23606797749979,0.0,1,4
4.031128874149275,12.25,4.0,0
1.0,0.0,0,1
3.605551275463989,4,9,0
2.23606797749979,4.0,1,0
1.0,0,0,1
2.23606797749979,0,4,1
4.123105625617661,9,4,4
2.23606797749979,4,0,1
7.762087348130012,56.25,4,0
7.632168761236874,1,1,56.25
3.605551275463989,0,4,9
5.408326913195984,20.25,0.0,9
3.0,1,4.0,4
