Re,Rx2,Ry2,Rz2
3.3541019662496847,6.25,1.0,4
4.358898943540674,9,1,9
4.8218253804964775,16,6.25,1
4.8218253804964775,16,6.25,1
4.8218253804964775,1,6.25,16
4.716990566028302,1,12.25,9.0
3.905124837953327,0,6.25,9
3.905124837953327,6.25,0,9
4.6097722286464435,20.25,0,1
5.5,12.25,9,9
6.726812023536855,16,20.25,9
4.716990566028302,9,1,12.25
3.3166247903554,1,9,1
5.744562646538029,4,4,25
9.233092656309694,20.25,16,49
1.7320508075688772,1,1.0,1
8.558621384311845,1,0,72.25
5.0,9,16.0,0.0
5.766281297335398,9,20.25,4
5.916079783099616,1,9,25
3.3166247903554,1.0,9,1
1.0,0,0,1
2.692582403567252,6.25,1,0
3.0,4,4,1
4.5,12.25,4,4
4.387482193696061,6.25,9,4.0
2.23606797749979,4.0,1,0
7.035623639735144,1,42.25,6.25
3.3541019662496847,4,1,6.25
5.744562646538029,1,16,16
1.5,0,2.25,0
6.96419413859206,12.25,20.25,16
3.5,2.25,1.0,9
2.23606797749979,0,1,4
5.408326913195984,20.25,0,9
5.244044240850758,20.25,6.25,1.0
