Re,Rx2,Ry2,Rz2
3.605551275463989,0.0,4,9
6.59545297913646,12.25,30.25,1
6.4031242374328485,4.0,1,36
1.7320508075688772,1,1,1
4.301162633521313,0.0,6.25,12.25
6.442049363362563,20.25,20.25,1
5.678908345800274,1.0,30.25,1.0
1.5,0,2.25,0
5.385164807134504,25,4,0
3.774917217635375,1,12.25,1
1.5,2.25,0.0,0
2.23606797749979,4,1,0
2.23606797749979,0.0,1,4
6.576473218982953,0,42.25,1
4.123105625617661,1,0,16
3.3166247903554,1.0,9,1
3.0,4.0,1,4
4.58257569495584,1,16.0,4
4.6097722286464435,0,20.25,1
2.23606797749979,0,4,1
5.916079783099616,9,1,25
3.2015621187164243,2.25,4,4
3.3166247903554,9,1.0,1
5.049752469181039,12.25,12.25,1
5.385164807134504,16,9,4
2.23606797749979,0,4,1
5.196152422706632,25,1.0,1.0
4.123105625617661,9.0,4.0,4
4.5,12.25,4,4
5.70087712549569,20.25,12.25,0
7.088723439378913,30.25,4,16
3.3541019662496847,1,6.25,4
5.385164807134504,4,25,0
1.7320508075688772,1.0,1,1
2.23606797749979,4,1.0,0
3.0,1.0,4,4
