c,x,y,z
0,1.3346,5.86583,4.95865
1,3.32838,5.41333,15.09671
2,4.3555,4.69967,19.65228
3,2.64245,0.2023,5.7024
4,5.84503,4.49722,6.00774
5,6.80362,4.01688,14.60029
6,1.19967,4.9546,2.15063
7,1.33822,2.26691,0.45971
8,5.03447,4.39076,3.8031
9,0.95881,4.38075,16.44972
10,6.23074,0.64867,19.55003
11,2.04393,0.18211,18.69327
12,0.59565,0.76336,10.52503
13,1.7579,1.3346,13.75121
14,4.28849,3.03303,6.93823
15,3.60224,6.65682,1.19876
16,3.46199,5.65117,9.04064
17,1.45749,4.28799,12.19734
18,2.97512,1.60697,9.97956
19,4.47042,2.57437,5.10585
20,0.19347,4.12133,19.61344
21,5.71848,5.03179,2.29961
22,5.7641,2.36886,12.75963
23,5.72816,4.02488,16.34772
24,6.35085,4.23074,10.15415
25,4.86209,6.96892,11.47623
26,1.28511,4.70282,8.05367
27,0.64931,0.87421,3.07781
28,6.61282,0.82925,8.66461
29,4.4684,6.76926,15.10182
30,3.22963,6.31431,9.88001
31,6.38107,1.26653,6.90319
32,2.80047,2.5,12.7024
33,2.15259,2.5,1.81187
34,6.73271,1.5,16.14827
35,4.29718,0.5811,17.45875
