Rg_rms,Rgx_rms,Rgy_rms,Rgz_rms,err_Rgrms,err_Rgx,err_Rgy,err_Rgz
5.766281,0.000000,0.000000,5.766281,0.000000,nan,nan,0.000000
1.942059,1.096955,1.123779,1.142543,0.064311,0.069595,0.065042,0.089732
1.913134,1.025122,1.090247,1.191877,0.063372,0.065555,0.070606,0.093568
1.812557,0.974909,1.121323,1.038052,0.056336,0.058626,0.067985,0.056760
1.831072,1.107387,1.071703,0.988925,0.054894,0.065621,0.061373,0.060234
1.962574,1.160368,1.143564,1.094305,0.073549,0.079137,0.075295,0.073399
1.969175,1.100888,1.166389,1.142468,0.086707,0.072752,0.068790,0.125144
1.889566,1.155315,1.049092,1.065418,0.071199,0.082693,0.051587,0.078896
1.962438,1.053477,1.151554,1.189652,0.067398,0.058899,0.064064,0.076748
1.870599,1.101983,1.149499,0.981544,0.067933,0.060832,0.073846,0.081761
1.834786,1.006454,1.082215,1.087337,0.054430,0.063387,0.049921,0.074818
1.971510,1.172708,1.082854,1.157167,0.082911,0.068701,0.066483,0.121035
1.785284,1.122781,1.031086,0.929226,0.078416,0.093239,0.062709,0.062924
1.907826,1.001708,1.199644,1.094183,0.071692,0.071129,0.081635,0.052924
1.895352,1.120629,1.153468,1.003026,0.078511,0.082509,0.062783,0.087399
1.853958,1.040461,1.097060,1.072874,0.054492,0.060933,0.059482,0.053010
1.912060,1.161406,1.172769,0.965257,0.071620,0.077349,0.062638,0.079446
1.910666,1.081155,1.171362,1.053405,0.067775,0.076249,0.062242,0.077476
1.923247,1.247366,1.059669,1.009980,0.069772,0.074607,0.082649,0.083167
1.891753,1.085485,1.178910,1.005298,0.063149,0.062433,0.068108,0.079600
1.891455,1.014486,1.101248,1.155714,0.060022,0.055822,0.072189,0.074763
2.002615,1.144565,1.089286,1.230404,0.054796,0.058445,0.069941,0.077308
1.886905,1.115742,1.130955,1.018072,0.068621,0.073454,0.062760,0.070805
2.000227,0.998962,1.284241,1.163491,0.061554,0.063356,0.076478,0.075119
1.881204,1.006486,1.197551,1.044885,0.050876,0.057093,0.075578,0.071338
1.850212,1.127043,1.108953,0.960876,0.070525,0.077857,0.066843,0.066510
1.959481,1.027169,1.256874,1.097615,0.071525,0.057393,0.077532,0.067370
1.861341,1.100485,0.967289,1.147989,0.067671,0.068335,0.060630,0.074698
1.820024,1.009684,1.138482,0.998440,0.056817,0.065696,0.064435,0.064531
1.925162,1.208461,1.045363,1.073819,0.065709,0.070360,0.075744,0.081954
1.916970,1.174249,1.113340,1.027807,0.075124,0.083295,0.075958,0.061488
1.814950,0.942794,1.121487,1.071190,0.053967,0.053276,0.065224,0.071381
1.829171,1.155771,0.997682,1.007319,0.049757,0.068871,0.054955,0.054052
2.020421,1.060998,1.171509,1.258551,0.083600,0.077554,0.075458,0.120857
1.896518,1.099677,1.071607,1.113171,0.089672,0.064825,0.069293,0.127470
1.999116,1.063180,1.012547,1.356784,0.075321,0.081510,0.073797,0.098215
1.891684,1.013584,1.126662,1.132143,0.073573,0.068918,0.066907,0.088907
1.815629,1.126211,1.015618,0.998339,0.050930,0.061478,0.059387,0.076758
1.945195,1.109184,1.168596,1.089898,0.060777,0.075639,0.071256,0.075554
1.929627,1.131382,1.050041,1.157949,0.067883,0.056993,0.071341,0.101214
1.915435,1.211564,1.107213,0.987464,0.074578,0.069326,0.079823,0.058900
