Re,Rx2,Ry2,Rz2
6.34428877022476,30.25,1,9
6.103277807866851,20.25,16,1
1.7320508075688772,1,1,1
10.173494974687902,6.25,72.25,25
1.0,0,0,1
2.23606797749979,4,1,0.0
3.5,0,12.25,0
9.246621004453464,1,42.25,42.25
3.605551275463989,9,0,4
5.766281297335398,9,20.25,4.0
4.358898943540674,9,9,1
4.58257569495584,16,4,1
6.363961030678928,30.25,6.25,4
4.387482193696061,9.0,6.25,4
3.605551275463989,0,9.0,4
6.59545297913646,12.25,30.25,1
3.605551275463989,9,4,0
4.123105625617661,1,0.0,16
2.5,4,2.25,0
2.23606797749979,0,4,1
4.272001872658765,2.25,0,16
5.244044240850758,20.25,6.25,1
3.3166247903554,1,1,9
5.024937810560445,1,20.25,4
5.0,25.0,0,0
1.0,0,0.0,1
4.123105625617661,0,1,16
5.315072906367325,16,12.25,0
5.385164807134504,4,9,16
2.0615528128088303,1,2.25,1
3.3166247903554,1,1,9
2.23606797749979,1,4.0,0.0
5.937171043518958,6.25,25,4
4.031128874149275,12.25,0,4
2.23606797749979,4.0,0.0,1
5.916079783099616,9,1,25
