c,x,y,z
0,5.53089,1.806,1.45
1,0.6871,6.10162,12.25
2,5.55013,4.83121,13.3
3,3.25141,5.2346,16.75
4,2.49856,3.09601,10.8
5,2.23342,6.47984,17.3
6,4.53932,6.95322,12.35
7,2.31633,2.72807,16.25
8,4.67519,5.99956,7.2
9,4.52381,3.29371,16.25
10,0.37646,6.90887,15.4
11,2.97757,7.46177,18.85
12,0.98457,1.75714,3.3
13,3.21083,2.81196,5.55
14,6.19496,4.44792,6.85
15,4.07595,5.04626,10.6
16,1.6359,0.97231,9.45
17,0.72764,6.36281,1.55
18,1.44792,4.11509,13.65
19,6.6668,2.72453,18.95
20,0.15272,1.28962,13.8
21,4.03246,5.14254,1.6
22,4.83184,3.84582,1.45
23,5.0,2.523,10.95
24,4.99835,6.86473,9.45
25,3.94633,0.86443,6.65
26,3.74586,3.04366,19.4
27,2.11757,2.02504,1.1
28,4.69326,3.99238,15.3
29,3.39059,3.86309,8.7
30,6.00691,6.15263,18.65
31,2.47711,4.22048,4.9
32,2.12791,2.21743,12.1
33,6.0525,3.90856,4.55
34,0.4057,3.703,16.6
35,4.92049,0.87614,1.55
