c,x,y,z
0,6.2246,2.07159,1.5
1,2.11805,5.98964,13.4
2,4.43992,4.871,11.55
3,2.39399,3.34411,15.7
4,4.5,4.66166,9.25
5,2.76658,0.71409,17.7
6,6.26072,6.59062,13.1
7,1.64441,2.36808,14.95
8,1.11412,5.94233,8.35
9,5.26146,2.30635,17.1
10,5.48858,6.61384,15.85
11,3.76745,1.54122,19.3
12,6.6901,2.04133,2.2
13,5.17514,1.15593,7.75
14,2.23342,2.25842,8.65
15,5.88609,7.34041,10.1
16,3.30663,0.17658,11.95
17,2.35608,6.33743,1.2
18,3.23158,5.21887,16.3
19,0.10407,2.88195,18.3
20,0.60858,2.35854,13.0
21,0.13557,5.03677,1.8
22,5.02243,3.30703,2.15
23,3.26351,2.39399,9.9
24,0.78962,0.19697,6.6
25,3.61509,5.32496,6.8
26,3.87311,2.1638,19.05
27,2.27193,3.06624,1.15
28,5.76658,3.41989,15.4
29,2.06131,4.19878,9.05
30,6.38569,6.08597,18.7
31,2.33201,4.65921,3.55
32,2.35143,4.12208,11.55
33,4.28962,1.55418,4.85
34,1.52526,5.72807,17.4
35,4.67259,1.05311,2.05
