c,Rg
0,2.545768108371224
1,2.3899346489810136
2,2.4996272611131443
3,2.7461308182968995
4,2.1232435453805105
5,2.7343301547545424
6,2.1419081945779097
7,2.0675988625698167
8,2.117141367457544
9,2.6442141291884815
10,3.13644465444554
11,2.6483870869833215
12,2.026822658177079
13,1.8110017080334297
14,1.829766370496518
15,1.7534609175000164
16,1.598011011507743
17,2.3388878971853266
18,2.4889134305555904
19,2.188524120497647
20,1.775452808722327
21,2.7400321298116195
22,1.89329570965552
23,2.5439005502574195
24,2.583183669370028
25,1.9788081620258189
26,1.8824061604765325
27,1.696761360268438
28,1.4427667343683799
29,1.8776918766666697
30,2.9055833506199744
31,2.5440918404216464
32,2.3536780338865384
33,2.28220158971551
34,1.9041909056604598
35,2.5215096941515016
