c,Rg
0,1.5509484699692637
1,2.6448324821054356
2,1.8123616240971339
3,2.77099842490031
4,2.3159789787042544
5,2.021138572438812
6,1.936198864166592
7,2.245715229720812
8,1.9168737352783571
9,3.209967720912471
10,2.91347086427855
11,2.161393019536243
12,2.247645476537614
13,2.202470255917205
14,2.041631611481366
15,2.1135730714834535
16,2.3615144092933247
17,2.041727004988669
18,2.419829121281088
19,2.7013873769046897
20,2.88229832989231
21,3.0598332740526897
22,2.39998617073099
23,1.7899984983513255
24,2.9336867765322183
25,2.262653095306481
26,1.800929946999605
27,2.1751675398690558
28,2.0423515007216557
29,2.314399310793191
30,2.197254560400319
31,1.6214964556236318
32,2.4874768012787576
33,2.0039471495276513
34,2.816999921565494
35,2.1694805908557933
