c,x,y,z
0,4.0014,2.03121,2.95
1,3.66941,0.49322,12.3
2,3.08858,2.41481,12.45
3,0.92423,1.73466,18.05
4,6.3885,1.5,2.35
5,6.24147,5.859,15.15
6,5.70251,6.17883,13.8
7,2.21887,6.21245,15.45
8,1.78414,3.99111,6.2
9,5.38669,4.23727,6.0
10,6.7641,4.55418,11.1
11,2.72514,3.43108,18.7
12,6.35531,1.42894,10.9
13,0.5709,5.24139,3.4
14,0.88435,4.30238,16.45
15,3.90349,5.62023,8.2
16,1.1341,4.34455,1.5
17,6.12385,4.71781,3.55
18,3.23253,0.09803,18.25
19,5.08017,1.88195,11.95
20,5.39148,2.40381,15.6
21,6.4951,3.58094,9.8
22,1.85401,6.3793,1.25
23,1.81279,2.3711,8.65
24,2.11257,2.45667,0.6
25,2.89715,1.10601,7.55
26,0.9007,3.78917,18.25
27,2.95948,1.41602,1.3
28,5.43463,4.1578,18.9
29,4.9122,6.9124,5.65
30,6.29419,6.3885,18.05
31,4.80193,5.07932,3.6
32,5.21011,4.58981,10.35
33,1.88195,2.02743,3.05
34,2.60482,7.25,18.15
35,1.09845,6.9821,11.75
