c,x,y,z
0,4.58858,3.2797,2.05
1,0.10377,5.00088,18.05
2,1.74382,2.76972,13.9
3,4.86992,0.83755,14.35
4,3.297,0.93086,11.7
5,3.33545,2.15522,18.05
6,2.62997,4.60199,10.5
7,7.44168,4.36351,15.75
8,1.94351,7.35328,1.65
9,4.65545,4.71772,11.9
10,0.97936,3.85414,12.8
11,3.05957,5.82843,19.05
12,6.08269,2.17523,11.8
13,2.31201,4.52237,8.3
14,2.7588,4.68463,3.95
15,6.11565,4.07561,7.6
16,1.78113,4.34093,5.7
17,6.13654,6.02056,0.9
18,1.73923,1.93938,9.4
19,5.89762,2.75121,18.35
20,2.35615,5.96682,16.8
21,6.55096,5.82777,7.0
22,0.69545,4.72807,1.6
23,3.11509,7.35328,15.15
24,3.11509,4.58442,6.2
25,0.5493,2.11186,4.55
26,3.5434,2.30381,18.1
27,2.94413,3.15418,1.9
28,0.34359,3.14248,9.95
29,5.78905,3.14254,6.55
30,6.51835,7.28563,18.7
31,1.8557,0.63056,4.7
32,0.30202,0.66852,11.25
33,2.32459,0.43741,3.35
34,3.04464,4.71772,16.0
35,3.92922,1.88112,1.05
