c,x,y,z
0,1.28134,2.71038,1.55
1,3.58589,0.17528,14.4
2,7.35474,2.37639,5.2
3,6.35458,1.78312,15.95
4,7.37521,4.6538,5.3
5,1.74047,3.02814,13.5
6,6.79739,0.68133,14.3
7,2.27944,3.23073,15.2
8,3.23791,2.27156,8.85
9,2.67405,6.60708,16.9
10,6.29291,3.46554,9.9
11,3.3943,3.03915,19.15
12,2.28962,1.78113,6.9
13,4.24346,4.29353,4.2
14,7.39462,6.90461,11.6
15,0.17305,0.84838,6.65
16,2.16186,4.81576,11.45
17,2.02764,6.69236,2.7
18,2.88195,6.67754,17.9
19,7.0694,2.89399,18.15
20,4.49891,1.40174,11.15
21,5.17718,3.9388,10.15
22,6.47842,4.17663,1.4
23,4.5959,4.29749,12.35
24,5.1645,0.84516,0.9
25,4.10244,6.33743,6.8
26,4.50098,3.17757,18.2
27,2.86116,4.10601,1.1
28,4.25979,4.56837,16.45
29,4.24663,3.25953,3.15
30,6.63465,0.12377,18.0
31,5.45858,2.10601,4.0
32,2.42259,7.15809,8.3
33,6.36944,2.89952,7.55
34,1.48146,6.16477,18.65
35,4.55646,6.44879,1.95
