c,Rg
0,2.1097285466381686
1,2.703409074871948
2,2.1504453432951975
3,2.420346110889928
4,2.515535588776275
5,2.298356158931857
6,1.8125257339138665
7,1.6360703574418796
8,2.3359265781697847
9,2.4478554763302514
10,2.143247934934267
11,1.9104093367914636
12,1.5387382317990281
13,1.6659839748629037
14,2.0010907787504295
15,2.001417707226555
16,2.0957703959165
17,1.9566865084116054
18,1.6669965305602767
19,1.711053052888776
20,1.8861267724360418
21,1.7750897947146222
22,1.787262309231636
23,2.19751544049183
24,1.876214977128154
25,1.677019098907344
26,2.32974115723185
27,1.8301400580283467
28,2.790987427936572
29,2.5771067237892957
30,2.298781964976235
31,1.7651675012304076
32,2.5098437191586256
33,2.36337642573078
34,3.0542944510639445
35,2.352390175204785
