c,x,y,z
0,5.47166,4.71636,13.1
1,0.60411,6.5832,13.95
2,3.49188,6.92483,11.1
3,6.61536,4.6662,16.8
4,2.68085,5.49891,14.65
5,3.53455,0.92558,6.15
6,1.28843,3.55832,2.95
7,1.03318,0.73873,3.9
8,5.0,3.02107,5.5
9,6.06387,6.4791,2.75
10,2.65589,3.90581,2.0
11,3.28849,3.8196,2.7
12,4.79989,5.02764,18.75
13,3.16292,2.20011,9.55
14,5.39841,6.85323,0.7
15,2.4344,3.35761,13.4
16,5.21887,2.52354,14.1
17,1.88112,4.65774,8.7
18,1.7391,3.14565,11.3
19,7.35474,2.34455,16.9
20,5.04626,1.59244,17.85
21,1.81497,3.47973,18.85
22,4.22724,0.36027,17.6
23,2.75835,0.26646,18.2
24,1.07606,7.29314,18.65
25,1.71285,1.57606,14.05
26,2.49401,0.66586,1.45
27,6.75568,5.13253,2.95
28,3.66166,3.9388,8.1
29,0.30092,6.07646,15.9
30,5.11779,0.26672,4.0
31,4.16351,5.5,6.55
32,6.44879,1.99239,12.05
33,3.49188,2.68977,1.0
34,4.66941,6.37828,12.3
35,4.5,3.58094,17.5
