c,x,y,z
0,5.76456,1.44582,10.15
1,2.5,6.81061,14.45
2,7.06727,3.56606,15.6
3,5.5852,5.44354,18.3
4,6.74229,6.50505,11.65
5,4.23073,6.48411,6.4
6,2.6497,1.21068,11.85
7,3.95614,5.10188,1.95
8,3.39908,7.46009,10.8
9,7.11772,1.11495,7.35
10,0.81696,2.2609,0.95
11,2.87808,1.20221,5.45
12,4.94393,2.44792,19.1
13,5.61115,6.13487,13.75
14,4.5494,3.88142,1.05
15,4.37021,5.8705,18.4
16,7.04864,4.66839,6.25
17,1.89399,7.22075,7.45
18,5.4074,2.66839,8.45
19,5.33834,5.0,13.75
20,1.16001,2.14597,15.3
21,6.94437,4.56244,17.95
22,3.45828,7.15338,18.95
23,2.99716,6.94855,15.95
24,1.64146,0.22471,17.9
25,2.00946,3.98252,12.7
26,3.65545,3.9388,10.9
27,5.24048,3.44582,3.4
28,3.64146,4.90375,8.35
29,4.6937,2.2574,13.75
30,2.11509,2.94566,3.2
31,0.3652,6.07665,0.85
32,1.20542,4.56369,8.3
33,2.23362,0.38443,2.35
34,1.07606,2.30757,11.85
35,3.37357,3.76927,16.95
