c,Rg
0,2.239582935191282
1,2.0072320362379634
2,1.6943319789226665
3,2.050469528473905
4,2.172003630222565
5,1.8670976545430076
6,2.168168280277156
7,2.343045106714764
8,2.0921796894626428
9,1.6850122036353326
10,1.716100568731332
11,1.9579929207226465
12,1.6432676913089965
13,2.4689659044425865
14,1.9440355026079124
15,2.2122367020280636
16,2.4551266540445527
17,2.2483393099129856
18,2.0966079630918126
19,2.1376779907179655
20,2.0601328924367963
21,2.251042943926215
22,2.1843891632444983
23,2.2164207720105855
24,2.0800355478693144
25,2.680759171130447
26,1.9301145508233442
27,2.0314818346468178
28,2.002896686002551
29,1.8365577162180338
30,2.382640349717095
31,1.7085114649015383
32,2.369338385056048
33,2.2696699765604693
34,2.703761699207236
35,1.8881026406421872
