19.000000,0.000000,0.000000
12.224747,2.082777,0.347129
10.723805,2.330329,0.388388
9.862950,2.184410,0.364068
7.590198,2.597904,0.432984
6.531973,2.445100,0.407517
6.222718,2.276495,0.379416
5.783117,2.162851,0.360475
6.191392,1.946383,0.324397
5.487359,2.025413,0.337569
5.301991,2.470156,0.411693
4.778424,1.716795,0.286132
5.632248,2.457040,0.409507
5.426274,1.779395,0.296566
5.185450,1.518443,0.253074
5.307228,1.954802,0.325800
5.497474,1.822691,0.303782
4.955356,1.571890,0.261982
5.286251,2.697280,0.449547
5.597619,1.731795,0.288632
5.270463,2.067016,0.344503
4.870546,1.782134,0.297022
5.296750,2.221179,0.370196
5.077182,2.222668,0.370445
4.795832,2.179172,0.363195
4.988877,1.917928,0.319655
5.238745,1.807044,0.301174
5.044249,1.686778,0.281130
5.532731,1.665176,0.277529
5.147815,1.872999,0.312166
5.115336,1.746319,0.291053
5.354126,1.482782,0.247130
5.768689,1.545716,0.257619
4.960959,1.813431,0.302238
5.390321,1.807403,0.301234
5.077182,1.661090,0.276848
4.972145,1.666695,0.277782
5.864204,1.887301,0.314550
4.784233,2.069159,0.344860
5.849976,1.851324,0.308554
5.768689,1.740298,0.290050
