c,Rg
0,1.8401708470682823
1,2.8432599378178565
2,2.154926597009745
3,2.8279445836508184
4,2.2749831859598433
5,2.1417481656114474
6,1.600527175401905
7,2.308419176319587
8,2.4837460747024847
9,2.3450850569862065
10,1.6717370979014612
11,2.345457306369059
12,1.9261998207870337
13,2.1757486860389004
14,1.8244205022143332
15,2.4821095289491155
16,2.9178960417568
17,2.212018422753301
18,2.559074253318961
19,1.9998526840995063
20,2.0786715582073088
21,2.1711973396492543
22,2.4129414488544882
23,2.36128294145365
24,2.054599270904183
25,2.695819272651637
26,1.5859624473801388
27,2.442453755754651
28,2.141239163778769
29,2.064484490859643
30,2.6038034410646285
31,2.1570491644373804
32,1.9264339308162115
33,2.865711504007338
34,1.8465943596253076
35,1.9228713936454513
