Re,Rx2,Ry2,Rz2
4.58257569495584,4,16.0,1
5.744562646538029,1.0,16.0,16
1.7320508075688772,1.0,1,1
5.744562646538029,25.0,4,4
6.708203932499369,4,16.0,25
4.358898943540674,9,9,1
5.385164807134504,16.0,9.0,4
6.082762530298219,36.0,1,0
6.082762530298219,0.0,36.0,1
4.358898943540674,9.0,9.0,1
9.433981132056603,25.0,64.0,0
3.0,1.0,4.0,4
7.54983443527075,16.0,25,16
8.660254037844387,1.0,49.0,25
3.605551275463989,0,4.0,9
8.06225774829855,0,64.0,1
5.196152422706632,25.0,1,1
5.196152422706632,25,1.0,1
5.916079783099616,25,9.0,1
3.3166247903554,9.0,1.0,1
4.58257569495584,16,4.0,1
2.23606797749979,1.0,4,0
3.0,4.0,4,1
6.4031242374328485,36.0,4,1
4.358898943540674,1,9.0,9
3.605551275463989,4,9,0
5.916079783099616,1,25,9
6.4031242374328485,16.0,16.0,9
7.681145747868608,1,49.0,9
5.385164807134504,4,16.0,9
7.280109889280518,49.0,4.0,0
5.916079783099616,25.0,9,1
3.605551275463989,9.0,0.0,4
3.3166247903554,1,1,9
2.23606797749979,1,4,0
3.0,4,4,1
