Re,Rx2,Ry2,Rz2
5.830951894845301,16.0,9,9
4.58257569495584,4.0,1,16
8.06225774829855,4,36.0,25
2.23606797749979,4,1.0,0
2.23606797749979,0,1,4
5.385164807134504,9,4.0,16
2.23606797749979,0.0,1,4
6.557438524302,25.0,9.0,9
3.0,4,4,1
6.4031242374328485,1.0,4,36
4.123105625617661,4,4.0,9
5.385164807134504,16.0,4,9
4.123105625617661,4,9,4
4.358898943540674,1,9,9
4.358898943540674,9,9.0,1
9.1104335791443,1,1,81
1.7320508075688772,1,1,1
4.123105625617661,16.0,1.0,0
3.3166247903554,9.0,1,1
3.0,4,4,1
4.58257569495584,1,16.0,4
7.54983443527075,25.0,16.0,16
7.0,0,0.0,49
4.358898943540674,1.0,9,9
3.0,4.0,4,1
3.0,4.0,4,1
1.0,0,0.0,1
5.0,9.0,16.0,0
4.58257569495584,16.0,4,1
2.0,0.0,0,4
2.23606797749979,4.0,0,1
5.916079783099616,1,25,9
5.196152422706632,9,9.0,9
3.3166247903554,9.0,1.0,1
5.385164807134504,25.0,4.0,0
2.23606797749979,0.0,4,1
