c,x,y,z
0,4.76574,2.68803,3.85
1,2.72709,6.66106,9.95
2,0.60697,2.22966,13.5
3,2.57909,6.92946,2.75
4,0.0574,0.33597,12.4
5,4.34135,4.87022,4.35
6,5.92897,4.34971,15.25
7,1.53011,6.53381,13.5
8,6.87609,1.79315,16.6
9,5.51795,5.88924,10.45
10,5.65965,1.50851,1.2
11,2.34883,6.93832,8.75
12,5.54367,1.78288,17.95
13,4.1877,1.06087,18.2
14,1.28342,4.43937,5.6
15,1.11241,6.23074,13.6
16,0.62896,2.49207,7.85
17,2.42476,3.51209,17.2
18,5.51398,0.75475,5.65
19,1.34318,3.7641,13.45
20,2.59479,5.81337,18.15
21,2.7249,2.72206,6.0
22,2.07375,0.69614,18.3
23,6.25594,5.55964,5.55
24,6.54367,4.22455,18.85
25,2.98104,2.78964,1.5
26,0.2215,3.85457,1.75
27,3.742,2.21818,8.85
28,3.82777,3.47793,10.95
29,3.79329,2.65311,13.35
30,1.08694,5.73675,3.8
31,3.85863,0.84351,15.05
32,0.731,3.93078,11.25
33,0.79329,0.05056,2.65
34,6.95341,0.68979,2.75
35,6.12773,6.818,7.95
