c,x,y,z
0,4.09551,0.9546,5.55
1,1.4051,1.40999,3.6
2,6.41793,6.20374,10.6
3,2.69481,0.06056,0.7
4,6.81072,2.35538,8.1
5,4.09078,2.24845,5.85
6,3.30614,1.88663,15.15
7,0.1205,2.93731,14.0
8,1.73675,6.57133,17.35
9,5.52429,0.05261,8.3
10,3.1398,4.9623,12.2
11,3.31329,2.88271,12.05
12,3.50347,5.87428,17.95
13,6.53119,2.42227,19.0
14,5.31529,5.11783,2.4
15,5.59324,2.17857,17.05
16,0.82798,3.3263,11.2
17,0.59677,3.73307,5.2
18,6.68779,3.10697,0.95
19,1.46811,3.39097,4.8
20,1.79478,4.12553,8.75
21,2.63309,6.07863,6.55
22,1.03447,6.25982,12.05
23,4.79329,4.36691,5.55
24,4.61214,4.5811,18.4
25,1.65974,4.32838,3.75
26,5.23074,1.09551,3.55
27,2.18663,0.40206,9.4
28,2.51001,5.87421,14.75
29,4.75157,1.78581,10.5
30,6.5191,0.24251,15.45
31,4.3619,1.68574,16.7
32,6.82798,2.29326,13.5
33,0.97989,6.9189,1.15
34,4.46715,4.5,8.25
35,1.0631,4.73309,17.85
