c,x,y,z
0,2.94689,5.53513,9.73572
1,0.59156,1.3048,9.79084
2,5.84802,2.53765,7.59604
3,6.36063,1.44636,10.20682
4,6.548,2.10601,8.40718
5,0.89135,2.45335,8.08353
6,6.5,3.99397,9.58431
7,6.6884,6.03646,10.74939
8,4.3886,6.62137,10.0
9,5.84802,7.37381,9.98008
10,1.78962,1.5,8.89011
11,3.40174,2.40521,9.93742
12,1.98075,6.19288,11.98893
13,0.51313,3.40844,9.81731
14,3.21038,6.52764,9.85479
15,0.8415,5.05852,8.47918
16,5.34231,1.35565,6.80744
17,5.78962,4.45492,10.5452
18,4.40844,2.90313,9.23235
19,5.04142,0.73854,10.05148
20,0.0876,0.2407,12.20336
21,1.5,3.78584,9.15578
22,1.29144,4.54508,11.4921
23,4.81831,3.36063,9.58949
24,5.94692,6.36063,10.78338
25,3.59156,0.71104,9.67384
26,1.8415,0.2407,10.67516
27,2.66141,1.58955,9.13232
28,2.0696,5.6952,10.60098
29,3.40174,4.17615,10.13035
30,3.5,1.73854,9.813
31,5.75204,5.59479,9.82824
32,4.40174,4.63937,9.29513
33,1.26146,6.09752,16.43951
34,2.8116,2.8116,8.41305
35,4.06801,5.5,9.89737
