c,x,y,z
0,4.24808,0.38239,15.85223
1,1.41181,3.44792,3.69849
2,4.95374,2.44792,14.0
3,0.1943,2.71772,10.75328
4,6.28542,5.72846,19.67908
5,0.46735,5.63787,8.69849
6,1.20246,5.06845,10.10272
7,4.42582,5.92798,14.65164
8,6.26849,2.57439,5.35596
9,6.60327,1.38525,0.78744
10,3.62695,7.0365,12.44779
11,2.73292,2.02764,9.0401
12,3.83708,1.11191,5.15084
13,2.54142,4.29749,12.41927
14,2.1193,4.71723,16.79721
15,3.69061,5.63709,1.55003
16,5.51791,5.27234,1.53308
17,1.96323,3.43913,7.39972
18,3.43827,7.09794,3.96369
19,7.47255,0.75408,12.95984
20,4.10601,0.90019,18.00426
21,1.00109,3.00325,16.44949
22,2.60798,3.78339,18.41893
23,3.05587,7.44682,9.29963
24,1.24346,1.375,14.54622
25,7.4904,0.2869,4.37176
26,1.83372,1.5926,19.79386
27,3.66166,2.06624,1.49038
28,7.16889,5.61036,5.31034
29,4.63455,0.08687,3.6493
30,6.10601,4.00196,12.1746
31,3.13692,4.91417,5.04701
32,0.24023,1.14649,18.71733
33,6.84371,4.71038,18.30534
34,5.53928,2.66166,17.99512
35,5.61036,2.703,8.24912
