c,x,y,z
0,0.27794,6.04754,8.08671
1,2.79269,5.05215,5.3987
2,0.04248,2.1143,3.33959
3,1.0156,6.18963,18.60361
4,2.1454,2.94639,4.50506
5,7.0,4.15649,12.5
6,0.6364,5.43129,13.65001
7,5.39807,2.23348,12.55105
8,0.17223,0.87765,19.69841
9,3.78799,5.33203,12.25155
10,2.35137,5.74495,2.13866
11,3.52911,0.89303,19.643
12,3.07863,5.29753,6.44972
13,2.42775,5.40603,9.20808
14,5.44453,3.45195,8.05067
15,0.17952,4.18215,4.9975
16,5.45842,5.75749,10.05015
17,0.34741,2.94944,2.19935
18,0.08388,0.19174,15.5998
19,2.2164,6.68279,8.24787
20,1.5,4.93153,17.26069
21,3.35042,0.41495,10.35843
22,2.37923,1.98512,14.83846
23,2.59571,3.32838,16.40361
24,3.16014,2.54805,17.57454
25,1.19376,5.21201,9.40367
26,6.97901,3.39598,7.44137
27,6.17223,4.97901,15.38942
28,5.76673,2.18648,3.0
29,4.80607,0.4476,15.82929
30,4.5,2.15649,17.5
31,6.53285,4.90197,18.59882
32,4.5,5.22673,4.49263
33,2.92137,6.85578,1.92546
34,6.17149,2.39303,10.60677
35,2.4476,2.88547,16.41185
