Re,Rx2,Ry2,Rz2
4.123105625617661,4,9,4.0
4.387482193696061,9.0,6.25,4
5.852349955359813,30.25,0.0,4
3.0,1,4,4
2.0615528128088303,1.0,2.25,1
4.6097722286464435,1,0.0,20.25
6.726812023536855,20.25,0.0,25
2.692582403567252,6.25,1,0
3.774917217635375,12.25,1,1
4.6097722286464435,20.25,0,1
2.23606797749979,1,0,4
3.0,4,4.0,1
7.697402159170326,42.25,16,1
3.3166247903554,1.0,1,9
4.031128874149275,12.25,4.0,0
4.58257569495584,4,16,1
4.5,12.25,4.0,4
4.387482193696061,6.25,9,4
8.5,56.25,0,16.0
3.0,1,4,4
4.123105625617661,9,4.0,4
3.0,4,4,1
2.692582403567252,0,6.25,1
5.0,0,0,25
3.605551275463989,4,9.0,0
3.3541019662496847,4.0,6.25,1
5.385164807134504,16,4,9.0
4.123105625617661,0.0,1,16
3.605551275463989,0,4,9
2.23606797749979,4.0,0,1
3.3541019662496847,1.0,6.25,4
2.23606797749979,1.0,0,4
4.8218253804964775,1,6.25,16
3.3166247903554,9,1.0,1
3.0,1.0,4,4
5.678908345800274,1,30.25,1
