c,Rg,Rgx,Rgy,Rgz
0,2.361295372078639,0.9759292356006147,1.0454480075068295,1.8789136289090032
1,1.89717351156925,1.0624319603626389,1.273968886001538,0.9206024875590986
2,1.171291939910798,0.7825365231093053,0.7294245897280951,0.47697082342633923
3,1.3679875094459013,0.9281028641266008,0.31622776601683794,0.9539470108973559
4,1.566251907293332,0.7000257995959863,0.9140157395253106,1.0619247359865012
5,2.0009482443581597,1.2922365729230851,1.0118419995730559,1.1445935016852056
6,2.040944470190211,0.6984088318456462,1.7464749549879037,0.7921519207828761
7,1.505088164228262,0.9273785168958791,1.0284743397868514,0.5894913068909499
8,1.8612928576932755,0.8530613954458377,1.0904690312429783,1.2440155343081531
9,1.8199945140576663,0.583748973789248,1.5848076931918271,0.6782342828256325
10,2.4880991003173483,2.056897560137597,1.1703879794751821,0.7681155756785565
11,2.1685371097355013,1.9677942201612448,0.6948662479211377,0.5894913068909499
12,1.674052689194698,1.071176819950843,0.6538575552060251,1.1079273099350877
13,1.5222002175141087,1.147339097608026,0.8082119130525115,0.5894913068909499
14,1.5082317342504101,0.670424266341844,0.9408956014882842,0.9695409916037588
15,1.2496473453738857,0.458375113198786,0.9547259096201379,0.6633318783987394
16,2.5239550007280243,0.7399442360070114,1.9419857911169178,1.432313708794271
17,1.5678134472251477,0.9810567331199558,0.5899421697081842,1.071230567198304
18,2.2552378298751554,1.5760546981624717,1.513984560555358,0.5567764435570169
19,1.9993848035833421,0.6783124238874,1.6703086087307337,0.8645814016042678
20,1.886970078644598,0.47704533327557036,0.8498231345991941,1.6158231548037676
21,2.1749306701823854,0.927378516895879,1.8385570235649475,0.7000004125713069
22,1.4993266994554588,1.1238891157049258,0.7330441558323754,0.6689544625009985
23,2.351096843794403,1.4569731934390555,1.3899673098673941,1.213621176479713
24,1.6868222277703127,0.6225293339273259,1.0050211780853178,1.203228526964018
25,1.5731574258477754,0.8150409226535805,1.2502129982127044,0.49749375875482094
26,2.1199213100726166,1.8692066938677485,0.9165862842089663,0.40000285011484593
27,1.438903599932949,0.6562551455798271,1.1455445992627264,0.5722764409793575
28,1.9288107577468563,0.9110345907812722,1.5100687247936768,0.7810373614623055
29,2.1051462788842015,1.0226834642742593,1.6119114499562315,0.8874124547807518
30,1.5059721126236036,0.8021418929341614,0.7839020410740107,1.0049965062625839
31,1.306383405934108,0.5831562685935906,0.6626206879505047,0.9630681147250177
32,1.9271266030284566,0.9675709356941221,0.8291573964573915,1.4457252299105803
33,1.6383935044121725,0.6948662479211377,0.9281028641266009,1.1576351957330941
34,1.6699027158190982,1.260980047780297,1.0528547490038689,0.3000021281591182
35,1.6286353453735434,1.1894938426070143,0.5361975233997263,0.9747049309919388
