c,x,y,z
0,4.98169,2.24251,9.80159
1,3.74816,3.92338,4.5
2,3.65727,3.76926,11.90839
3,6.71178,1.05215,6.6994
4,1.38217,5.56486,10.1494
5,1.98104,6.59397,5.44481
6,1.95891,1.9259,12.0
7,2.42427,5.94639,11.65075
8,2.02724,1.31721,6.19935
9,6.71201,4.56063,2.1494
10,5.96653,0.4476,4.20139
11,4.98919,2.13876,8.15239
12,2.35657,5.0836,7.43183
13,5.39037,2.14117,13.19841
14,1.57225,5.68923,19.85412
15,4.37337,1.44239,4.8992
16,0.11783,1.85705,14.80159
17,4.28448,5.70282,8.85445
18,6.06319,5.02099,14.11565
19,0.74669,6.83951,1.55054
20,3.21201,1.34318,10.26208
21,2.02099,5.65117,13.49473
22,1.79626,2.67162,16.70039
23,0.8123,0.38413,1.51012
24,1.13429,4.1877,4.20688
25,3.0,0.02903,16.85116
26,2.68452,2.72383,17.7976
27,3.43119,5.05261,16.09651
28,5.7253,4.79626,4.94469
29,0.71411,5.4476,7.64157
30,0.61933,4.95094,12.34849
31,2.20088,2.02877,12.03444
32,2.38786,0.4471,6.24774
33,4.0,2.40603,4.39317
34,6.24251,6.4717,4.25777
35,6.36086,2.87688,6.37343
