c,x,y,z
0,6.54586,5.32981,18.79029
1,1.71038,5.82233,10.19957
2,4.58858,4.96981,16.34347
3,1.83724,6.04065,9.81312
4,0.98182,0.65672,9.00479
5,4.22258,4.28364,3.84626
6,2.86747,1.38247,0.28915
7,7.1529,5.78962,1.74469
8,5.78917,2.6969,1.62698
9,3.5,2.39017,17.90113
10,1.6757,2.31789,3.80821
11,2.86116,0.99895,3.46651
12,5.09858,3.00047,16.85223
13,4.23351,6.45273,3.09505
14,4.65545,0.66893,14.84308
15,0.88063,4.4566,17.5
16,1.92216,4.83975,11.34636
17,3.5,6.13771,14.8494
18,3.03765,3.32938,1.90113
19,2.90174,6.9124,15.71033
20,3.76638,2.84271,19.39583
21,0.2407,2.31581,15.75399
22,3.14254,2.08787,0.47961
23,0.64975,5.78481,8.39169
24,6.47825,0.5709,10.99265
25,1.44516,1.20456,12.90303
26,2.92159,7.27925,13.90405
27,1.44582,7.11905,3.59177
28,4.23994,2.5,17.89829
29,5.27193,7.16343,19.29502
30,3.8415,5.18282,17.34784
31,1.35565,4.31539,17.30553
32,1.57421,1.43631,16.30057
33,3.44354,4.76658,8.09595
34,2.75654,5.5,0.48472
35,2.37472,5.98051,10.55003
