c,x,y,z
0,3.3645,5.36223,11.69638
1,4.7449,3.65644,12.30065
2,0.68663,1.45195,7.19211
3,2.15796,1.12978,0.1624
4,1.32838,1.51831,11.54104
5,3.07662,3.5,8.65001
6,1.0139,5.41365,0.64853
7,2.65649,6.69505,19.02842
8,5.02099,2.81986,0.06047
9,3.85457,1.48306,8.84887
10,5.76658,6.77746,9.19841
11,1.23992,4.63484,0.84887
12,4.47584,3.36359,0.56667
13,3.28139,3.65555,6.60892
14,4.84015,2.53969,5.39346
15,1.37587,2.0631,10.89869
16,1.2293,5.11595,11.49507
17,4.55013,4.59018,3.16324
18,5.25384,2.59018,18.02699
19,3.41746,1.67162,13.66065
20,1.0,2.33641,16.09778
21,3.9844,1.0,11.6994
22,1.94639,6.44219,12.03307
23,5.92373,5.40449,6.44972
24,2.03066,0.66061,11.30757
25,4.76338,3.26325,7.84887
26,3.64126,1.44239,17.78637
27,3.05261,4.20374,14.75092
28,0.7598,5.4992,6.48983
29,1.32838,0.71271,0.27117
30,0.04335,0.86678,19.09254
31,4.54805,5.92546,9.3006
32,0.91804,1.4476,10.25032
33,0.86813,4.0,18.33471
34,6.62123,1.70698,4.02457
35,6.90313,6.99841,7.05091
