c,x,y,z
0,2.65,1.8,9.05
1,3.9,4.2,16.5
2,2.85,5.3,13.15
3,5.6,4.0,3.1
4,5.5,3.1,17.7
5,4.9,1.3,9.5
6,1.85,1.5,13.45
7,3.75,3.4,3.95
8,0.65,4.8,7.85
9,4.0,2.2,6.6
10,3.2,1.65,8.25
11,2.15,1.45,8.8
12,2.4,2.6,3.0
13,4.25,1.8,12.05
14,2.0,5.05,3.75
15,4.35,1.75,12.4
16,2.1,5.25,2.65
17,2.85,4.3,16.35
18,5.15,3.85,7.1
19,2.25,3.9,1.55
20,3.95,5.25,8.9
21,4.85,5.45,9.0
22,2.1,1.6,13.3
23,5.6,3.15,18.55
24,5.2,5.75,9.25
25,4.8,5.5,1.7
26,2.15,2.55,12.1
27,3.75,2.8,2.85
28,4.55,1.35,2.8
29,3.05,2.3,4.85
30,2.3,2.25,11.55
31,4.15,3.25,8.4
32,4.5,4.1,17.0
33,5.25,5.15,10.5
34,1.65,3.55,9.6
35,3.2,3.45,16.55
