c,x,y,z
0,5.0,4.3,17.8
1,5.35,5.75,11.4
2,1.35,4.9,17.95
3,4.3,1.9,5.2
4,5.45,4.45,18.9
5,5.55,2.6,2.45
6,2.5,4.45,8.15
7,5.8,3.35,14.75
8,5.8,2.6,10.7
9,3.3,4.85,2.05
10,2.2,3.1,8.5
11,1.7,4.6,1.7
12,4.25,2.2,6.15
13,2.45,1.75,11.0
14,0.7,3.95,15.85
15,3.1,2.05,16.25
16,5.2,5.5,8.0
17,1.4,1.75,2.65
18,1.35,5.7,2.95
19,1.3,5.1,15.2
20,4.55,2.3,10.55
21,1.4,1.35,4.95
22,3.35,4.15,18.2
23,1.0,4.95,10.15
24,4.2,1.15,18.05
25,5.75,3.5,7.35
26,4.75,5.8,4.95
27,2.85,5.9,14.85
28,4.55,2.85,14.3
29,2.0,1.35,15.25
30,2.45,1.2,8.25
31,5.5,5.75,1.95
32,6.15,1.9,12.75
33,1.65,3.15,12.6
34,4.35,0.95,1.8
35,1.45,6.0,7.35
