x,y,z
1,1,4
1,1,3
1,0,3
1,1,3
1,2,3
1,2,4
1,1,4
2,1,4
2,1,5
3,1,5
3,2,5
3,2,4
3,3,4
3,4,4
3,4,5
2,4,5
1,4,5
2,4,5
3,4,5
3,4,6
4,3,14
4,3,13
3,3,13
4,3,13
4,3,14
4,4,14
3,4,14
3,3,14
3,4,14
4,4,14
4,4,15
4,4,14
4,4,15
3,4,15
3,4,16
3,4,15
3,4,16
3,4,15
3,4,16
2,4,16
2,5,19
2,4,19
2,3,19
2,3,18
2,3,17
2,2,17
2,2,16
2,2,15
2,1,15
3,1,15
3,0,15
3,1,15
3,0,15
4,0,15
4,1,15
4,0,15
4,1,15
4,1,14
5,1,14
5,2,14
4,1,2
4,2,2
4,1,2
4,0,2
3,0,2
3,0,1
3,0,0
3,0,1
3,1,1
4,1,1
4,1,2
3,1,2
2,1,2
2,1,3
2,2,3
2,3,3
2,2,3
2,3,3
2,4,3
2,5,3
4,4,13
4,4,12
4,5,12
4,4,12
4,5,12
5,5,12
4,5,12
4,6,12
4,5,12
3,5,12
3,5,11
3,6,11
4,6,11
3,6,11
2,6,11
2,6,12
2,6,11
2,6,12
2,6,11
3,6,11
2,6,6
3,6,6
3,5,6
3,5,7
3,5,6
3,5,5
3,4,5
4,4,5
4,5,5
3,5,5
3,4,5
3,4,4
3,4,5
4,4,5
3,4,5
3,5,5
3,6,5
2,6,5
2,5,5
2,5,6
4,3,6
4,4,6
4,4,5
4,4,6
5,4,6
4,4,6
4,4,7
5,4,7
5,4,8
5,5,8
5,5,9
5,4,9
5,5,9
4,5,9
4,5,8
4,5,7
4,4,7
4,3,7
5,3,7
6,3,7
3,3,18
4,3,18
5,3,18
5,4,18
5,4,19
4,4,19
5,4,19
5,3,19
4,3,19
4,3,18
5,3,18
5,4,18
5,5,18
5,4,18
5,5,18
5,5,17
5,6,17
5,6,18
4,6,18
4,6,17
2,3,15
2,2,15
2,1,15
2,1,14
3,1,14
3,2,14
3,1,14
3,2,14
3,3,14
3,4,14
3,4,13
4,4,13
4,4,12
4,3,12
4,2,12
4,1,12
4,1,13
4,1,14
4,1,15
3,1,15
4,2,19
4,2,18
4,1,18
4,2,18
5,2,18
4,2,18
4,2,17
4,3,17
4,3,16
5,3,16
5,2,16
5,3,16
