c,x,y,z
0,2.9,3.6,7.5
1,5.05,2.75,11.7
2,2.05,3.55,8.4
3,1.2,4.15,2.15
4,2.2,1.9,3.1
5,3.4,1.45,11.05
6,4.05,3.2,5.25
7,3.05,3.9,2.25
8,2.05,5.4,16.25
9,5.2,1.6,9.4
10,3.8,2.85,8.05
11,3.85,4.15,7.9
12,5.75,5.35,3.3
13,2.65,2.55,16.7
14,5.8,5.0,1.8
15,1.15,4.35,16.2
16,2.35,1.8,9.75
17,3.8,5.45,14.85
18,1.95,3.05,13.4
19,1.95,2.5,15.65
20,1.45,4.55,11.9
21,3.3,2.1,10.3
22,1.15,4.05,16.7
23,3.9,4.5,10.7
24,4.75,5.75,8.0
25,5.2,4.65,3.05
26,5.25,2.4,6.85
27,2.4,3.15,14.45
28,3.2,3.95,3.25
29,4.1,4.5,11.6
30,4.5,4.8,13.2
31,3.95,4.25,8.2
32,2.45,4.0,5.85
33,3.25,1.6,9.25
34,4.5,4.15,18.65
35,3.45,5.2,4.55
