Re,Rx2,Ry2,Rz2
3.605551275463989,0,4,9
3.0,4,1,4
3.605551275463989,4,0,9
6.082762530298219,1,0,36
1.0,1,0,0
3.3166247903554,1,1,9
5.916079783099616,25,1,9
5.385164807134504,4,9,16
5.0,25,0,0
4.123105625617661,1,16,0
2.23606797749979,1,4,0
5.0,16,0,9
4.123105625617661,1,16,0
5.196152422706632,25,1,1
7.14142842854285,25,25,1
6.4031242374328485,0,25,16
5.744562646538029,25,4,4
4.58257569495584,1,16,4
3.605551275463989,9,0,4
4.123105625617661,1,0,16
5.0,16,0,9
5.385164807134504,4,9,16
3.0,1,4,4
6.4031242374328485,1,4,36
1.7320508075688772,1,1,1
2.23606797749979,0,4,1
4.58257569495584,16,1,4
4.58257569495584,16,4,1
7.0,9,4,36
7.280109889280518,36,1,16
4.123105625617661,9,4,4
3.605551275463989,0,4,9
1.7320508075688772,1,1,1
4.58257569495584,16,4,1
3.3166247903554,1,9,1
5.385164807134504,0,25,4
