Re,Rx2,Ry2,Rz2
5.0,0,16,9
3.3166247903554,1,9,1
5.385164807134504,4,25,0
1.7320508075688772,1,1,1
3.605551275463989,4,0,9
3.0,1,4,4
4.58257569495584,1,16,4
5.744562646538029,1,16,16
3.0,1,4,4
5.0,16,0,9
7.0,4,9,36
3.3166247903554,1,1,9
3.3166247903554,1,1,9
6.4031242374328485,4,1,36
6.557438524302,25,9,9
4.58257569495584,1,4,16
5.916079783099616,25,9,1
4.58257569495584,4,1,16
6.557438524302,9,9,25
6.4031242374328485,4,36,1
4.58257569495584,4,16,1
6.082762530298219,1,36,0
6.708203932499369,0,36,9
1.7320508075688772,1,1,1
1.0,1,0,0
3.605551275463989,4,0,9
3.0,0,0,9
5.916079783099616,1,25,9
6.4031242374328485,16,0,25
3.3166247903554,9,1,1
4.123105625617661,4,4,9
3.0,0,9,0
2.23606797749979,1,0,4
6.4031242374328485,25,16,0
6.708203932499369,36,9,0
5.385164807134504,4,16,9
