Re,Rx2,Ry2,Rz2
2.23606797749979,1,4,0
5.0,9,0,16
2.23606797749979,4,1,0
6.4031242374328485,16,9,16
6.708203932499369,9,36,0
5.0,25,0,0
5.744562646538029,4,4,25
5.196152422706632,1,25,1
8.06225774829855,4,25,36
3.3166247903554,1,1,9
3.605551275463989,9,4,0
3.0,4,4,1
8.06225774829855,0,16,49
6.708203932499369,4,16,25
3.605551275463989,9,0,4
3.605551275463989,0,9,4
3.605551275463989,9,4,0
4.58257569495584,4,1,16
4.58257569495584,1,4,16
5.0,0,25,0
7.280109889280518,16,36,1
5.196152422706632,25,1,1
4.58257569495584,4,1,16
3.3166247903554,9,1,1
2.23606797749979,4,1,0
3.3166247903554,1,1,9
5.744562646538029,25,4,4
6.557438524302,9,25,9
2.23606797749979,0,1,4
3.3166247903554,1,1,9
5.196152422706632,9,9,9
4.123105625617661,4,4,9
4.358898943540674,1,9,9
4.58257569495584,1,16,4
5.385164807134504,4,16,9
2.23606797749979,0,1,4
