x,y,z
1,1,11
1,2,11
1,2,12
1,2,13
1,2,14
1,2,15
1,2,14
1,2,13
1,2,5
1,2,4
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,13
1,2,14
2,2,14
3,2,14
2,2,14
1,2,14
1,2,13
1,2,14
1,2,6
1,2,7
1,2,6
1,2,7
2,2,7
3,2,7
3,3,7
3,4,7
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,16
3,5,15
3,5,14
4,5,6
4,5,5
4,5,4
4,5,5
4,5,6
4,5,7
4,4,7
4,5,7
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,16
3,5,15
3,5,14
1,2,7
1,2,6
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,1,11
1,2,11
2,2,11
3,2,11
2,2,11
1,2,11
1,2,12
1,2,13
1,2,14
1,2,15
1,2,14
4,5,7
4,5,6
4,5,5
4,5,4
4,5,5
4,5,6
4,5,7
5,5,7
4,5,7
4,5,8
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,14
3,5,13
4,5,7
4,5,6
4,5,5
4,5,6
4,5,7
4,4,7
4,5,7
4,4,7
4,5,7
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,14
3,5,13
1,2,7
1,2,6
1,2,5
1,2,6
1,2,7
1,3,7
1,4,7
1,5,7
1,4,7
1,3,7
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,13
1,2,14
1,2,15
1,2,14
4,5,7
4,5,6
4,5,5
4,5,6
4,5,7
4,4,7
4,3,7
4,4,7
4,5,7
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,14
3,5,13
4,5,6
4,5,5
4,5,4
4,5,5
4,5,6
4,5,7
3,5,7
4,5,7
4,5,8
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,16
3,5,15
3,5,14
