Re,Rx2,Ry2,Rz2
2.23606797749979,1,4,0
6.082762530298219,0,1,36
3.3166247903554,1,9,1
3.0,1,4,4
2.23606797749979,1,0,4
6.082762530298219,1,0,36
5.385164807134504,4,16,9
1.0,0,1,0
3.605551275463989,0,9,4
2.23606797749979,0,1,4
7.280109889280518,0,4,49
4.123105625617661,1,0,16
4.358898943540674,9,9,1
5.0,9,0,16
5.196152422706632,1,1,25
3.605551275463989,9,0,4
3.3166247903554,1,1,9
8.06225774829855,0,1,64
4.123105625617661,4,9,4
5.0,16,0,9
3.0,0,0,9
1.0,0,1,0
3.0,0,0,9
5.385164807134504,25,0,4
5.196152422706632,9,9,9
1.0,1,0,0
4.358898943540674,1,9,9
4.358898943540674,1,9,9
3.0,4,1,4
4.123105625617661,4,9,4
7.810249675906654,0,36,25
6.4031242374328485,36,1,4
3.0,0,0,9
2.23606797749979,0,1,4
5.0,0,9,16
2.23606797749979,0,1,4
