c,x,y,z
0,4.1,5.6,18.6
1,6.15,3.95,12.6
2,1.4,1.85,18.25
3,2.25,2.35,6.5
4,4.2,1.7,17.6
5,5.2,1.3,5.3
6,5.55,5.45,1.3
7,5.35,4.8,14.75
8,3.1,6.05,13.95
9,4.45,2.25,0.8
10,3.35,1.5,7.85
11,2.05,2.85,2.9
12,5.4,2.05,7.65
13,3.1,5.05,10.55
14,3.4,4.3,16.6
15,4.15,1.7,18.95
16,2.65,4.9,6.75
17,1.7,1.25,2.25
18,5.1,2.05,3.15
19,4.4,2.35,11.85
20,3.15,4.65,12.8
21,1.45,1.15,14.3
22,1.15,5.55,17.6
23,4.8,5.25,5.05
24,4.0,1.8,13.6
25,1.1,5.35,8.95
26,3.35,2.8,9.35
27,6.4,5.15,6.45
28,5.0,4.3,18.0
29,2.75,2.0,15.35
30,1.15,2.05,3.5
31,5.4,4.8,4.2
32,1.55,2.6,10.75
33,5.55,5.4,9.85
34,1.0,5.45,2.25
35,1.45,5.05,4.4
