c,x,y,z
0,3.06315,1.82477,8.50472
1,0.13848,1.01561,2.16953
2,2.5404,3.10244,17.05752
3,5.5,4.83042,11.81487
4,6.31387,4.17619,16.04827
5,5.64123,5.87808,19.90157
6,6.07144,3.77738,18.75088
7,3.82938,6.99383,11.34636
8,6.32787,7.41396,15.4502
9,2.39193,4.43108,12.49536
10,3.89399,1.52834,15.70326
11,3.60199,0.93185,20.01836
12,7.48002,2.62682,14.80151
13,2.90844,5.00927,5.5498
14,2.20408,3.1642,5.50953
15,6.31458,5.75654,2.25763
16,7.45086,1.84763,14.89924
17,3.0,0.15995,12.29963
18,3.10718,5.8415,3.85889
19,3.15658,1.29073,13.05135
20,1.59058,3.0848,5.08927
21,4.01818,4.55418,18.40076
22,5.77558,4.46988,1.22909
23,3.13333,1.98075,7.25148
24,4.05007,2.20631,16.71082
25,4.60601,0.1279,6.74118
26,5.27234,1.59156,12.84916
27,6.31812,7.41992,9.75232
28,3.34973,1.1585,18.56063
29,1.7019,0.70193,8.99285
30,6.89272,2.38964,4.18966
31,6.03182,7.30812,11.09697
32,2.8879,3.20537,15.09789
33,3.40521,0.75141,8.50967
34,4.16585,4.39801,10.80009
35,2.18569,2.74859,0.54734
